anahtar_kelime,karsilik
ANAHTAR_KELIME_01,1
ANAHTAR_KELIME_02,2
ANAHTAR_KELIME_03,3
ANAHTAR_KELIME_04,4
ANAHTAR_KELIME_05,5
ANAHTAR_KELIME_06,6
ANAHTAR_KELIME_07,7
ANAHTAR_KELIME_08,8
ANAHTAR_KELIME_09,9
ANAHTAR_KELIME_10,10
ANAHTAR_KELIME_11,11
ANAHTAR_KELIME_12,12
ANAHTAR_KELIME_13,13
ANAHTAR_KELIME_14,14
ANAHTAR_KELIME_15,15
ANAHTAR_KELIME_16,16
ANAHTAR_KELIME_17,17
ANAHTAR_KELIME_18,18
ANAHTAR_KELIME_19,19
ANAHTAR_KELIME_20,20
ANAHTAR_KELIME_21,21
ANAHTAR_KELIME_22,22
ANAHTAR_KELIME_23,23
ANAHTAR_KELIME_24,24
ANAHTAR_KELIME_25,25
ANAHTAR_KELIME_26,26
ANAHTAR_KELIME_27,27
ANAHTAR_KELIME_28,28
ANAHTAR_KELIME_29,29
ANAHTAR_KELIME_30,30
ANAHTAR_KELIME_31,31
ANAHTAR_KELIME_32,32
